1,0
2,50
3,105
4,167
5,235
6,311
7,396
8,489
9,593
10,708
11,836
12,978
13,1136
14,1311
15,1505
16,1720
17,1959
18,2225
19,2520
20,2847
21,3210
22,3613
23,4061
24,4557
25,5109
26,5721
27,6400
28,7154
29,7991
30,8920
31,9951
32,11096
33,12366
34,13776
35,15342
36,17079
37,19008
38,21149
39,23526
40,26163
41,29091
42,32341
43,35949
44,39953
45,44398
46,49332
47,54808
48,60887
49,67635
50,75125
51,83439
52,92667
53,102910
54,114280
55,126901
56,140910
57,156460
58,173721
59,192880
60,214147
61,237753
62,263956
63,293041
64,325326
65,361162
66,400940
67,445093
68,494103
69,548504
70,608890
71,675918
72,750319
73,832904
74,924573
75,1026326
76,1139272
77,1264642
78,1403803
79,1558271
80,1729731
81,1920051
82,2131307
83,2365801
84,2626089
85,2915008
86,3235709
87,3591687
88,3986823
89,4425424
90,4912270
91,5452670
92,6052514
93,6718340
94,7457408
95,8277772
96,9188377
97,10199149
98,11321105
99,12566477
100,13948839
